Reference;Publication Year;Task;Case study;Case study type;Input for the model;Number of input variables;Input type;Data Pre-processing;Model Approach;Model Type;Models;Online/Off-line;Number of failure modes;Performance indicator;Performance;Complementary notes;Study title;Publication identifier
131;2017;One step future state forecast;Cutter tool;Rotary machines;Signals;2;Flank wear width, Cutting force;Yes;Single model;Data-driven;Gaussian Process Regression (GPR);Online;1;Mean absolute error, Root mean square error, Mean absolute error percentage, Pearson correlation coefficent;(7.8858),(10.8552),(4.4188),(0.9925);6 operational modes . Time consumption (s) train time 1.342, test time 0.015.;Gaussian process regression for tool wear prediction;doi.org/10.1016/j.ymssp.2017.11.021
132;2017;One step future state forecast;Cutter tool;Rotary machines;Signals;2;Flank wear width, Cutting force;Yes;Single model;Data-driven;v-support vector regression;Online;1;Mean absolute error, Root mean square error, Mean absolute error percentage, Pearson correlation coefficent;(10.4711),(161131),(6.0304),(0.9828);6 operational modes . Time consumption (s) train time 0.048, test time 0.015.;Gaussian process regression for tool wear prediction;doi.org/10.1016/j.ymssp.2017.11.021
133;2017;One step future state forecast;Cutter tool;Rotary machines;Signals;2;Flank wear width, Cutting force;Yes;Single model;Data-driven;Least Square Support Vector Machine;Online;1;Mean absolute error, Root mean square error, Mean absolute error percentage, Pearson correlation coefficent;(10.1863),(13.5366),(5.9486),(0.9879);6 operational modes . Time consumption (s) train time 0.078, test time 0.032.;Gaussian process regression for tool wear prediction;doi.org/10.1016/j.ymssp.2017.11.021
134;2017;One step future state forecast;Cutter tool;Rotary machines;Signals;2;Flank wear width, Cutting force;Yes;Single model;Data-driven;Back Propagation Neural Network;Online;1;Mean absolute error, Root mean square error, Mean absolute error percentage, Pearson correlation coefficent;(14.5795),(22.0489),(7.1922),(0.9708);6 operational modes . Time consumption (s) train time 4.15, test time 0.016.;Gaussian process regression for tool wear prediction;doi.org/10.1016/j.ymssp.2017.11.021
135;2017;One step future state forecast;Cutter tool;Rotary machines;Signals;2;Flank wear width, Cutting force;Yes;Single model;Data-driven;Elman Neural Network Model;Online;1;Mean absolute error, Root mean square error, Mean absolute error percentage, Pearson correlation coefficent;(13.0402),(18.3804),(6.8661),(0.978);6 operational modes . Time consumption (s) train time 6.070, test time 0.016.;Gaussian process regression for tool wear prediction;doi.org/10.1016/j.ymssp.2017.11.021
136;2017;Multiple steps future state forecast;Lithium-ion battery;Energy cells and batteries;Time series;;Not specified others;Yes;Single model;Data-driven;Gaussian Process Regression (GPR);Off-line;1;Mean absolute error percentage, Root mean square error;([12.10,27.0]),([13.03,22.51]);3 operational modes. First 100 points were used to to train the model and the remaning 68 were used for prediction. No info about computational power.;Prognostics for State of Health of Lithium-Ion Batteries Based on Gaussian Process Regression;doi.org/10.1155/2018/8358025
137;2017;Multiple steps future state forecast;Lithium-ion battery;Energy cells and batteries;Time series;;Not specified others;Yes;Single model;Data-driven;Linear Gaussian Process Functional Regression (LGPFR);Off-line;1;Mean absolute error percentage, Root mean square error;([1.9,23.0]),([1.59,6.9]);3 operational modes. First 100 points were used to to train the model and the remaning 68 were used for prediction. No info about computational power.;Prognostics for State of Health of Lithium-Ion Batteries Based on Gaussian Process Regression;doi.org/10.1155/2018/8358025
138;2017;Multiple steps future state forecast;Lithium-ion battery;Energy cells and batteries;Time series;;Not specified others;Yes;Single model;Data-driven;Gaussian Process Functional Regression with Quadratic Polynomial Mean Funtion (QGPFR);Off-line;1;Mean absolute error percentage, Root mean square error;([1.9,7.7]),([1.5,5.52]);3 operational modes. First 100 points were used to to train the model and the remaning 68 were used for prediction. No info about computational power.;Prognostics for State of Health of Lithium-Ion Batteries Based on Gaussian Process Regression;doi.org/10.1155/2018/8358025
139;2017;Multiple steps future state forecast;Lithium-ion battery;Energy cells and batteries;Time series;;Not specified others;Yes;Single model;Data-driven;Combination Linear Gaussian Process Functional Regression (LGPFR);Off-line;1;Mean absolute error percentage, Root mean square error;([1.6,10.2]),([1.36,6.86]);3 operational modes. First 100 points were used to to train the model and the remaning 68 were used for prediction. No info about computational power.;Prognostics for State of Health of Lithium-Ion Batteries Based on Gaussian Process Regression;doi.org/10.1155/2018/8358025
140;2017;Multiple steps future state forecast;Lithium-ion battery;Energy cells and batteries;Time series;;Not specified others;Yes;Single model;Data-driven;Combination Gaussian Process Functional Regression with Quadratic Polynomial Mean Funtion (QGPFR);Off-line;1;Mean absolute error percentage, Root mean square error;([2.1,29.0]),([1.8,20.44]);3 operational modes. First 100 points were used to to train the model and the remaning 68 were used for prediction. No info about computational power.;Prognostics for State of Health of Lithium-Ion Batteries Based on Gaussian Process Regression;doi.org/10.1155/2018/8358025
141;2017;Multiple steps future state forecast;Lithium-ion battery;Energy cells and batteries;Time series;;Not specified others;Yes;Single model;Data-driven;Spectral mixture kernels Gaussian process regression SMK-GPR;Off-line;1;Mean absolute error percentage, Root mean square error;([1.65,10.6]),([1.38,7.08]);3 operational modes. First 100 points were used to to train the model and the remaning 68 were used for prediction. No info about computational power.;Prognostics for State of Health of Lithium-Ion Batteries Based on Gaussian Process Regression;doi.org/10.1155/2018/8358025
142;2017;Multiple steps future state forecast;Lithium-ion battery;Energy cells and batteries;Time series;;Not specified others;Yes;Single model;Data-driven;Multiscale Gaussian Process Regression methods with squared exponential function SE-MGPR;Off-line;1;Mean absolute error percentage, Root mean square error;([1.09,2.96]),([1.14,2.12]);3 operational modes. First 100 points were used to to train the model and the remaning 68 were used for prediction. No info about computational power.;Prognostics for State of Health of Lithium-Ion Batteries Based on Gaussian Process Regression;doi.org/10.1155/2018/8358025
143;2017;Multiple steps future state forecast;Lithium-ion battery;Energy cells and batteries;Time series;;Not specified others;Yes;Single model;Data-driven;Multiscale GPR methods with periodic covariance function P-MGPR;Off-line;1;Mean absolute error percentage, Root mean square error;([1.02,2.93]), ([1.07,2.11]);3 operational modes. First 100 points were used to to train the model and the remaning 68 were used for prediction. No info about computational power.;Prognostics for State of Health of Lithium-Ion Batteries Based on Gaussian Process Regression;doi.org/10.1155/2018/8358025
144;2017;Multiple steps future state forecast;Lithium-ion battery;Energy cells and batteries;Time series;;Not specified others;Yes;Single model;Data-driven;Gaussian process regression with neural network (GPRNN);Off-line;1;Mean absolute error percentage, Root mean square error;([0.74,1.00]), ([0.74,0.82]);3 operational modes. First 100 points were used to to train the model and the remaning 68 were used for prediction. No info about computational power.;Prognostics for State of Health of Lithium-Ion Batteries Based on Gaussian Process Regression;doi.org/10.1155/2018/8358025
145;2017;Multiple steps future state forecast;Lithium-ion battery;Energy cells and batteries;Time series;;Not specified others;Yes;Single model;Data-driven;Gaussian process regression with neural network (GPRNN);Off-line;1;Mean absolute error percentage, Root mean square error;([0.73,0.99]), ([0.81,0.83]);3 operational modes. First 100 points were used to to train the model and the remaning 68 were used for prediction. No info about computational power.;Prognostics for State of Health of Lithium-Ion Batteries Based on Gaussian Process Regression;doi.org/10.1155/2018/8358025
146;2017;Multiple steps future state forecast;Lithium-ion battery;Energy cells and batteries;Time series;;Not specified others;Yes;Single model;Data-driven;Gaussian process regression with neural network (GPRNN);Off-line;1;Mean absolute error percentage, Root mean square error;([0.91,2.18]), ([0.83,1.71]);3 operational modes. First 100 points were used to to train the model and the remaning 68 were used for prediction. No info about computational power.;Prognostics for State of Health of Lithium-Ion Batteries Based on Gaussian Process Regression;doi.org/10.1155/2018/8358025
147;2018;Remaining useful life estimation;Lead-acid batteries;Energy cells and batteries;Time series;2;Time, Resistance;Yes;Multi model;Data-driven;Wiener process, Proportional hazards model;Off-line;1;Mean absolute error;([0.1676,0.5754]);1 operational mode. 31 data points were used for training and testing. No info about computational power.;Prediction of hard failures with stochastic degradation signals using Wiener process and proportional hazards model;doi.org/10.1016/j.cie.2018.09.015
148;2018;Remaining useful life estimation;Lead-acid batteries;Energy cells and batteries;Time series;2;Time, Resistance;Yes;Multi model;Data-driven;Back Propagation Neural Network;Off-line;1;Mean absolute error;([0.1629,0.3274]);1 operational mode. 31 data points were used for training and testing. No info about computational power.;Prediction of hard failures with stochastic degradation signals using Wiener process and proportional hazards model;doi.org/10.1016/j.cie.2018.09.015
149;2018;Remaining useful life estimation;Lead-acid batteries;Energy cells and batteries;Time series;2;Time, Resistance;Yes;Multi model;Data-driven;Neural network;Off-line;1;Mean absolute error;([0.1753,0.3037]);1 operational mode. 31 data points were used for training and testing. No info about computational power.;Prediction of hard failures with stochastic degradation signals using Wiener process and proportional hazards model;doi.org/10.1016/j.cie.2018.09.015
150;2019;Remaining useful life estimation;Rolling bearings;Rotary machines;Time series;2;Gyroscope drift;Yes;Single model;Data-driven;Gaussian Process Regression (GPR);Off-line;3;Root mean square error, Absolute error;(<5.12), (<0.67,);No info abaut operational modes, 1 case of study, no info abaut computational power;Physics-based Gaussian process for the health monitoring for a rolling bearing;https://doi.org/10.1016/j.actaastro.2018.10.029
151;2019;Remaining useful life estimation;Rolling bearings;Rotary machines;Time series;2;gyroscope drift;Yes;Single model;Data-driven;Gaussian Process Regression (GPR);Off-line;3;Root mean square error, Absolute error;(<20.23), (<0.27,);No info abaut operational modes, 1 case of study, no info abaut computational power;Physics-based Gaussian process for the health monitoring for a rolling bearing;https://doi.org/10.1016/j.actaastro.2018.10.029
152;2019;Remaining useful life estimation;Rolling bearings;Rotary machines;Time series;2;gyroscope drift;Yes;Single model;Data-driven;Gaussian Process Regression (GPR);Off-line;3;Root mean square error, Absolute error;(<6.9), (<0.102,);No info abaut operational modes, 1 case of study, no info abaut computational power;Physics-based Gaussian process for the health monitoring for a rolling bearing;https://doi.org/10.1016/j.actaastro.2018.10.029
153;2012;Health assessment;Lithium-ion battery;Energy cells and batteries;Time series;2;Health index;Yes;Single model;Data-driven;Gaussian Process Regression (GPR);Off-line;1;Root mean square error;<0,02;No info abaut operational modes, 1 case of study, no info abaut computational power;Data-driven Prognostics for Lithium-ion Battery Based on Gaussian Process Regression;978·14577-1911-0/12/
154;2012;Health assessment;Lithium-ion battery;Energy cells and batteries;Time series;2;Health index;Yes;Single model;Data-driven;Gaussian Process Regression (GPR);Off-line;1;Root mean square error;<0,07;No info abaut operational modes, 1 case of study, no info abaut computational power;Data-driven Prognostics for Lithium-ion Battery Based on Gaussian Process Regression;978·14577-1911-0/12/
155;2009;Remaining useful life estimation;Lead bismuth eutectic experimental accelerator driven sistem;Unknown Item Type;Signals;5;Temperature;No;Single model;Data-driven;Point wise fuzzy;Off-line;4;Relative error;<0,09;No info abaut operational modes,No need for trainning data,6400 failure scenarios,1280 test trajectories, no info abaut computational power;A data-drivenfuzzy approach for predicting there maining useful life in dynamic failure scenarios of a nuclear system;Unknown Identifier
156;2018;Remaining useful life estimation;Engine;Rotary machines;Time series;14;Temperature, Static pressure, Total Pressure;Yes;Single model;Data-driven;Hidden Markov;Off-line;1;Absolute error;(<12.5), (<12.5,),(<6.8);No info abaut operational modes, one case of study, to train the sub-state sequences for each KPI they set the hidden states as 3 and the time series are segmented into time windows as observation sequence, no info abaut computional power;K-PdM: KPI-Oriented Machinery Deterioration Estimation Framework for Predictive Maintenance Using Cluster-Based Hidden Markov Model;https://doi.org/10.1109/ACCESS.2018.2859922
157;2018;Remaining useful life estimation;Engine;Rotary machines;Time series;14;Temperature, Static pressure, Total Pressure;Yes;Single model;Data-driven;Hidden Markov;Off-line;1;Absolute error;(<2.78), (<1.73,),(<5.38);No info abaut operational modes, one case of study, to train the sub-state sequences for each KPI they set the hidden states as 3 and the time series are segmented into time windows as observation sequence, no info abaut computional power;K-PdM: KPI-Oriented Machinery Deterioration Estimation Framework for Predictive Maintenance Using Cluster-Based Hidden Markov Model;https://doi.org/10.1109/ACCESS.2018.2859922
158;2018;Remaining useful life estimation;Engine;Rotary machines;Time series;14;Temperature, Static pressure, Total Pressure;Yes;Single model;Data-driven;Hidden Markov;Off-line;1;Absolute error;(<112.05), (<8.05,),(<19.03);No info abaut operational modes, one case of study, to train the sub-state sequences for each KPI they set the hidden states as 3 and the time series are segmented into time windows as observation sequence, no info abaut computional power;K-PdM: KPI-Oriented Machinery Deterioration Estimation Framework for Predictive Maintenance Using Cluster-Based Hidden Markov Model;https://doi.org/10.1109/ACCESS.2018.2859922
159;2018;Health modelling;Engine;Rotary machines;Time series;1;Temperature, Static pressure, Total Pressure;Yes;Single model;Data-driven;Hidden Markov;Off-line;1;N/A;N/A;No info abaut operational modes, one case of study, to train the sub-state sequences for each KPI they set the hidden states as 3 and the time series are segmented into time windows as observation sequence, no info abaut computional power;K-PdM: KPI-Oriented Machinery Deterioration Estimation Framework for Predictive Maintenance Using Cluster-Based Hidden Markov Model;https://doi.org/10.1109/ACCESS.2018.2859922
160;2017;Health modelling;Vehicle suspension;Structures;Time series;15;degradation;No;Multi model;Data-driven;Markov chain, Bayesian Network;Off-line;5;N/A;N/A;No info abaut oprational mode, one case of study, the reability structure of the sistem are asume to be known,no info abaut computational power;Predictive maintenance of complex system with multi-level reliability structure;http://dx.doi.org/10.1080/00207543.2017.1299947
161;2017;Health modelling;Vehicle suspension;Structures;Time series;21;degradation;No;Multi model;Data-driven;Markov chain, Bayesian Network;Off-line;5;N/A;N/A;No info abaut oprational mode, one case of study, the reability structure of the sistem are asume to be known,no info abaut computational power;Predictive maintenance of complex system with multi-level reliability structure;http://dx.doi.org/10.1080/00207543.2017.1299947
162;2018;Remaining useful life estimation;Rolling bearings;Rotary machines;Time series;1;Vibrations;Yes;Single model;Data-driven;Nonlinear regression;Online;1;Root mean square error, Absolute error, Accuracy;(<89.4075), (<74.4025,),(<0.3818);Two case of study, 4 training sets, 1 test instance, no info abaut computacional power;Real-Time Remaining Useful Life Prediction for a Nonlinear Degrading System in Service:Application to Bearing Data;http://doi.org/ 10.1109/TMECH.2017.2666199
163;2018;Remaining useful life estimation;Rolling bearings;Rotary machines;Time series;1;Vibrations;Yes;Single model;Data-driven;Nonlinear regression;Online;1;Root mean square error, Absolute error, Accuracy;(<61.2017), (<48.7117,),(<0.5549);Two case of study, 4 training sets, 1 test instance, no info abaut computacional power;Real-Time Remaining Useful Life Prediction for a Nonlinear Degrading System in Service:Application to Bearing Data;http://doi.org/ 10.1109/TMECH.2017.2666199
164;2018;Health modelling;Rolling bearings;Rotary machines;Time series;1;Vibrations;Yes;Single model;Data-driven;Nonlinear regression;Online;1;Root mean square error, Absolute error, Accuracy;(<89.4075), (<74.4025,),(<0.3818);Two case of study, 4 training sets, 1 test instance, no info abaut computacional power;Real-Time Remaining Useful Life Prediction for a Nonlinear Degrading System in Service:Application to Bearing Data;http://doi.org/ 10.1109/TMECH.2017.2666199
165;2018;Health modelling;Rolling bearings;Rotary machines;Time series;1;Vibrations;Yes;Single model;Data-driven;Nonlinear regression;Online;1;Root mean square error, Absolute error, Accuracy;(<61.2017), (<48.7117,),(<0.5549);Two case of study, 4 training sets, 1 test instance, no info abaut computacional power;Real-Time Remaining Useful Life Prediction for a Nonlinear Degrading System in Service:Application to Bearing Data;http://doi.org/ 10.1109/TMECH.2017.2666199
166;2018;Fault detection;Wind turbines;Rotary machines;Time series;22;Temperature;Yes;Single model;Data-driven;Gaussian process clasifiers(GPC);Off-line;6;Accuracy;<0.945; one case of study, there are 454 fault data and 25,645 fault-free data contained in the training data set, the remaining 113 fault and 6411 fault-free observations are included in the testing data set, no info abaut computacional power;Wind turbine fault diagnosis based on Gaussian process classifiers applied to operational data;https://doi.org/10.1016/j.renene.2018.10.088
167;2018;Fault detection;Wind turbines;Rotary machines;Time series;22;Wind power;Yes;Single model;Data-driven;Gaussian process clasifiers(GPC);Online;6;N/A;N/A; one case of study, there are 454 fault data and 25,645 fault-free data contained in the training data set, the remaining 113 fault and 6411 fault-free observations are included in the testing data set, no info abaut computacional power;Wind turbine fault diagnosis based on Gaussian process classifiers applied to operational data;https://doi.org/10.1016/j.renene.2018.10.088
168;2014;Health modelling;electric cooling fan health pronostic;Rotary machines;Time series;2;Temperature, Vibration;Yes;Single model;Data-driven;copula based sampling;Off-line;1;N/A;N/A;No info abaut operational mode, two case of study , 20 training data sets, no info abaut computacional power;A copula-based sampling method for data-driven prognostics;http://dx.doi.org/10.1016/j.ress.2014.06.014
169;2014;Remaining useful life estimation;electric cooling fan health pronostic;Rotary machines;Time series;2;Temperature, Vibration;Yes;Single model;Data-driven;copula based sampling;Online;1;N/A;N/A;No info abaut operational mode, two case of study , 20 training data sets, no info abaut computacional power;A copula-based sampling method for data-driven prognostics;http://dx.doi.org/10.1016/j.ress.2014.06.014
170;2014;Remaining useful life estimation;2008 IEEE PHM challenge problem;Rotary machines;Time series;3;Vibration;Yes;Single model;Data-driven;copula based sampling;Off-line;1;Score function;<8.12;No info abaut operational mode, two case of study, VHI was then calculated for218 training and testing data sets, no info abaut computacional power;A copula-based sampling method for data-driven prognostics;http://dx.doi.org/10.1016/j.ress.2014.06.014
171;2016;Health modelling;carbon epoxy coupons;Structures;Time series;1;Energy, Hits;Yes;Single model;Data-driven;Hidden Markov;Off-line;1;N/A;N/A;No info abaut operational mode, one case of study, no info abaut computacional power;Fatigue damage diagnostics and prognostics of composites utilizing structural health monitoring data and stochastic processes;DOI: 10.1177/1475921716646579
172;2016;Remaining useful life estimation;carbon epoxy coupons;Structures;Time series;1;energy, hits;Yes;Single model;Data-driven;Hidden Markov;Off-line;1;N/A;N/A;No info abaut operational mode, one case of study, no info abaut computacional power;Fatigue damage diagnostics and prognostics of composites utilizing structural health monitoring data and stochastic processes;DOI: 10.1177/1475921716646579
173;2016;Health assessment;carbon epoxy coupons;Structures;Time series;1;energy, hits;Yes;Single model;Data-driven;Hidden Markov;Off-line;1;Score function;N/A;No info abaut operational mode, one case of study, no info abaut computacional power;Fatigue damage diagnostics and prognostics of composites utilizing structural health monitoring data and stochastic processes;DOI: 10.1177/1475921716646579
174;2012;Health modelling;Infraestructure;Structures;Time series;1;Traffic volume;Yes;Single model;Data-driven;Hidden Markov;Off-line;1;N/A;N/A;No info abaut operational mode, no case of study, no imfo abaut computacional power;A statistical deterioration forecasting method using hidden Markov model for infrastructure management;doi:10.1016/j.trb.2011.11.008
175;2007;Fault detection;Railway track circuit;Electrical components;Time series;8;Voltage, Current;Yes;Multi model;Data-driven, Knowledge-based;Fuzzy Inference System, Neural Network;Off-line;11;Root mean square error;-0.0684;11 operational modes, 1 healthy condition and 10 failure condition, 33000 data points used for training, each observation was;Fault detection and diagnosis for railway track circuits using neuro-fuzzy systems;doi:10.1016/j.conengprac.2007.06.007
176;2007;Fault identification;Railway track circuit;Electrical components;Time series;8;Voltage, Current;Yes;Multi model;Data-driven, Knowledge-based;Fuzzy Inference System, Neural Network;Off-line;11;Root mean square error;-0.0684;11 operational modes, 1 healthy condition and 10 failure condition, 33000 data points used for training, each observation was;Fault detection and diagnosis for railway track circuits using neuro-fuzzy systems;doi:10.1016/j.conengprac.2007.06.007
177;2019;Health assessment;Railway track geometry;Structures;Time series;14;Mechanical stresses, Life cycles, Mechanical Pressure, Elastic strains, Plastic strains;No;Multi model;Physics-based, Data-driven;Physics-based model for track settlement, Bayes model;Off-line;1;N/A;N/A;No info about operational modes, no need for training for physics based model, 5000 particles for particle filter model, 10 testing instances, no info about computational power ;A knowledge-based prognostics framework for railway track geometry degradation;doi.org/10.1016/j.ress.2018.07.004
178;2019;Remaining useful life estimation;Railway track geometry;Structures;Time series;14;Mechanical stresses, Life cycles, Mechanical Pressure, Elastic strains, Plastic strains;No;Multi model;Physics-based, Data-driven, Physics-based;Physics-based model for track settlement, Bayes model, Particle Filter;Online;1;Mean absolute error percentage;(<5%);No info about operational modes, no need for training for physics based model, 5000 particles for particle filter model, 10 testing instances, no info about computational power ;A knowledge-based prognostics framework for railway track geometry degradation;doi.org/10.1016/j.ress.2018.07.004
179;2019;Health modelling;Railway track geometry;Structures;Time series;3;Steam mass flow, Flue gas temperature, Tube thickness;No;Multi model;Physics-based, Data-driven;Physical erosion model, Gamma Process;Off-line;1;Confidende interval;-89.00%;No clear info about operation modes, 11 datasets were used to estimate the model parameters and 1 dataset for validating, 89% of the thickness losses are within the confidence interval, no info about computational power;Degradation modeling and condition-based maintenance of boiler heat exchangers using gamma processes;doi.org/10.1016/j.ress.2018.11.023
180;2015;Health modelling;Filters;Structures;Time series;4;Pressure drop, Volumetric flow rate, Cake thickness, Porosity;No;Single model;Physics-based;Filter clogging model;Off-line;1;Prognostic horizon, Alpha-lambda performance, Relative accuracy, Convergence, Root mean square error;(94.91%), (53.43%),(79.03%),(0.51), (7.10%);4 operational modes, ratio of particles range from 0,400% to 0,475% levels, 16 experiements, no data about training, no data about computational power;Physics-based prognostic modelling of filter clogging phenomena;dx.doi.org/10.1016/j.ymssp.2015.12.011
181;2015;Remaining useful life estimation;Filters;Structures;Time series;4;Pressure drop, Volumetric flow rate, Cake thickness, Porosity;No;Single model;Physics-based;Particle Filter;Off-line;1;Prognostic horizon, Alpha-lambda performance, Relative accuracy, Convergence, Root mean square error;(94.91%), (53.43%),(79.03%),(0.51), (7.10%);4 operational modes, ratio of particles range from 0,400% to 0,475% levels, 16 experiements, no data about training, no data about computational power;Physics-based prognostic modelling of filter clogging phenomena;dx.doi.org/10.1016/j.ymssp.2015.12.011
182;2010;Remaining useful life estimation;Simulated jet-engines data;Rotary machines;Time series;1;Health index;Yes;Multi model;Data-driven;Multi-layer perceptron neural network, Back propagation;Off-line;1;Score function, Mean square error, Correlation coefficient;(1540), (345.46), (0.9414);6 operational modes, no info about training instances, data preprocessing include HI data smoothing, The training method used in the network training is Levenberg-Marquardt, Matlab version 7 neural network toolbox.;Evaluation of Neural Networks in the Subject of Prognostics As Compared To Linear Regression Model;103706-5252 IJET-IJENS
183;2010;Multiple steps future state forecast;Continuous stirred-tank reactor (CSTR);Structures;Time series;2;Temperature, Flow rate;Yes;Multi model;Data-driven, Knowledge-based;Hidden Markov, Belief rule-based model;Online;1;Visual indicator;N/A;No info about operational modes, the parameters in the BRB can be trained using offline and online learning algorithms, no explicit info about testing samples, computational power for Matlab, performance is measured using visual indicators, not measurable;A model for real-time failure prognosis based on hidden Markov model and belief rule base;doi:10.1016/j.ejor.2010.03.032
184;2017;Remaining useful life estimation;Production plant machines;Rotary machines;Time series;;Temperature, Voltage, Current, Power;No;Multi model;Physics-based, Data-driven;Paris Law, ARIMA model;Online;1;N/A;N/A;No info about operational modes, no info about training instances, no info about computational power.;A RUL Calculation Approach Based on Physicalbased Simulation Models for Predictive Maintenance;doi:10.1109/ICE.2017.8280022
185;2017;Remaining useful life estimation;Lithium-ion battery;Energy cells and batteries;Time series;1;Battery capacity;No;Single model;Data-driven;Relevance vector machine;Off-line;1;Error range, Accuracy, Steady indicator;([1, 20]), ([60%, 94.44%]), ([0.0045, 0.0419]);1 operational mode, 4 batery types, No explicit info about training data, 35 testing parameters, no info about computational power;A new hybird method for the prediction of the remaining useful life o a lithium-ion battery;doi.org/10.1016/j.apenergy.2017.09.106
186;2017;Remaining useful life estimation;Lithium-ion battery;Energy cells and batteries;Time series;1;Battery capacity;No;Single model;Physics-based;Kalman Filter;Off-line;1;Error range, Accuracy, Steady indicator;([1, 42]), ([33.33%, 91.07%]), ([0.0073, 0.0257]);1 operational mode, 4 batery types, No explicit info about training data, 35 testing parameters, no info about computational power;A new hybird method for the prediction of the remaining useful life o a lithium-ion battery;doi.org/10.1016/j.apenergy.2017.09.106
187;2017;Remaining useful life estimation;Lithium-ion battery;Energy cells and batteries;Time series;1;Battery capacity;No;Multi model;Data-driven, Physics-based;Relevance vector machine, Kalman Filter;Off-line;1;Error range, Accuracy, Steady indicator;([1, 6]), ([84.85%, 97.72%]), (0.0036, 0.0157]);1 operational mode, 4 batery types, No explicit info about training data, 35 testing parameters, no info about computational power;A new hybird method for the prediction of the remaining useful life o a lithium-ion battery;doi.org/10.1016/j.apenergy.2017.09.106
188;2015;Health assessment;Aircraft engines;Rotary machines;Time series;1;Exhaust gas temperature margin;No;Multi model;Knowledge-based, Data-driven;Fuzzy Inference System, Markov chain;Off-line;1;Mean absolute error percentage;-4.50%;No info about operational modes, 1 training instance, no info about testing instances, no need for data presprocessing ,no info about computational power ;An Improved Prediction Model for Equipment Performance Degradation based on Fuzzy-Markov Chain;doi : 10.1109/IEEM.2015.7385597
189;2012;Fault identification;Wind turbines;Electrical components;Time series;1;Thickness irregularities;No;Single model;Physics-based;FEM (Finite Element Method);Off-line;1;N/A;N/A;No info about operational modes, 6 training cycles, 26 single wire fatigue tests have been carried out per date (23 specimens from the irregular outer layer wires and 3 specimens from the smooth centre wire) ,no need for data preprocessing, no info about computational power ;Fatigue analysis of copper conductor for offshore wind turbines by experimental and FE method;doi: 10.1016/j.egypro.2012.06.109
190;2013;Fault feature extraction;Simulated jet-engines data;Rotary machines;Signals;3;Temperature, Fluid Pressure, Spinning speed;No;Single model;Knowledge-based;Discrete-time system;Online;9;Insensitivity;N/A;10 operational modes, no info about training instances, 3 testing instances (three different sets of measurements or sensor installations) , no need for data-preprocessing ,no info about computational power, the article shows that the proposed fault diagnostic system is robust with respect to the outliers as well as extensive levels of noise, in other words, it has insensitivity.;A Multiple Model-Based Approach for Fault Diagnosis of Jet Engines;doi :10.1109/TCST.2011.2177981
191;2013;Fault detection;Simulated jet-engines data;Rotary machines;Time series;2;Measurement vector, Control input vector;No;Multi model;Data-driven, Physics-based;Bayes model, Kalman Filter;Online;9;Robustness , Insensitivity;N/A;10 operational modes, no info about training instances, 3 testing instances (three different sets of measurements or sensor installations) , no need for data preprossesing, no info about computational power ,the robustness and insensitivity of the proposed FDI scheme are demonstrated by the fact that the proposed fault diagnosis scheme can detect and isolate all the faults that are considered by utilizing any of the 3 measurement configurations.;A Multiple Model-Based Approach for Fault Diagnosis of Jet Engines;doi :10.1109/TCST.2011.2177981
192;2013;Fault identification;Simulated jet-engines data;Rotary machines;Time series;2;Measurement vector, Control input vector;No;Multi model;Data-driven, Physics-based;Bayes model, Kalman Filter;Online;9;Robustness , Insensitivity;N/A;10 operational modes, no info about training instances, 3 testing instances (three different sets of measurements or sensor installations) ,no need for data preprossesing, no info about computational power ,the robustness and insensitivity of the proposed FDI scheme are demonstrated by the fact that the proposed fault diagnosis scheme can detect and isolate all the faults that are considered by utilizing any of the 3 measurement configurations.;A Multiple Model-Based Approach for Fault Diagnosis of Jet Engines;doi :10.1109/TCST.2011.2177981
193;2019;Health assessment;Lithium-ion battery;Energy cells and batteries;Time series;3;Loss of active materials of the positive electrode , Loss of active materials of the negative electrode, Loss of lithium inventory;No;Single model;Data-driven;Non-linear least squares with dynamic bounds;Off-line;3;N/A;N/A;No info about operational modes, for each testing cell, its training set was formed from the data of the other seven cells, 8 testing instances (8 Li-ion battery cells),no need for data-preprocessing , computational power for Symfit Python package. For More info about computational time and memory usage see section 4.4 and Table 3.;Physics-based prognostics of lithium-ion battery using non-linear least squares with dynamic bounds.;doi.org/10.1016/j.ress.2018.09.018
194;2019;Remaining useful life estimation;Lithium-ion battery;Energy cells and batteries;Time series;3;Loss of active materials of the positive electrode , Loss of active materials of the negative electrode, Loss of lithium inventory;Yes;Single model;Physics-based;Half-cell model;Online;3;Root mean square error;N/A;No info about operational modes, for each testing cell, its training set was formed from the data of the other seven cells, 8 testing instances (8 Li-ion battery cells), for data preprocessing noise was introduced into the degradation parameter data as a normally distributed Gaussian noise. Several values for the RMSE associated to testing instances are showed in Table 1 and Figure 10. The approach was compared with a different model, for more info see Table 1 and Figure 10. Info about computational time and memory usage is presented in both section 4.4 and Table 3.;Physics-based prognostics of lithium-ion battery using non-linear least squares with dynamic bounds.;doi.org/10.1016/j.ress.2018.09.018
